year,month_name,month,week,hours
2020,October,10,1,0
2020,October,10,2,0
2020,October,10,3,0
2020,October,10,4,0
2020,October,10,5,0
2020,November,11,1,0
2020,November,11,2,0
2020,November,11,3,0
2020,November,11,4,0
2020,November,11,5,0
2020,December,12,1,0
2020,December,12,2,0
2020,December,12,3,0
2020,December,12,4,0
2020,December,12,5,0
2021,January,1,1,0
2021,January,1,2,44
2021,January,1,3,36
2021,January,1,4,44
2021,January,1,5,36
2021,January,1,6,0
2021,February,2,1,44
2021,February,2,2,36
2021,February,2,3,44
2021,February,2,4,36
2021,February,2,5,0
2021,March,3,1,44
2021,March,3,2,36
2021,March,3,3,44
2021,March,3,4,36
2021,March,3,5,27
2021,April,4,1,17
2021,April,4,2,36
2021,April,4,3,44
2021,April,4,4,36
2021,April,4,5,44
2021,May,5,1,0
2021,May,5,2,36
2021,May,5,3,44
2021,May,5,4,36
2021,May,5,5,44
2021,May,5,6,9
2021,June,6,1,27
2021,June,6,2,44
2021,June,6,3,36
2021,June,6,4,44
2021,June,6,5,27
2021,July,7,1,9
2021,July,7,2,44
2021,July,7,3,36
2021,July,7,4,44
2021,July,7,5,36
2021,August,8,1,44
2021,August,8,2,36
2021,August,8,3,44
2021,August,8,4,36
2021,August,8,5,18
2021,September,9,1,26
2021,September,9,2,36
2021,September,9,3,44
2021,September,9,4,36
2021,September,9,5,36
